Название вакансии,Размер заработной платы,Название компании,Образование,Уровень английского,Опыт работы,Сертификация,Способ оформления,Методы управления,Регион,contains_project_keywords
Менеджер проектов,206900.0,Азия Майнинг Групп,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Начинающий менеджер проекта (услуги Яндекс),80000.0,Бутова Светлана Романовна,Среднее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Казань,True
Начинающий менеджер проекта (услуги Яндекс),125000.0,Веб Кьюб,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Москва,True
Проектный менеджер / Project Manager,110000.0,Делаем IT,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,kanban; scrum,Москва,True
Project manager,,Михайлин Николай Юрьевич,Не требуется,Требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер ИТ-проектов,90000.0,Верный Код,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,agile; waterfall,Иркутск,True
Руководитель проектов,172500.0,"ЗАВОД ВЕНТИЛЯТОР, Группа компаний",Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Начинающий менеджер проекта (проект Яндекс),80000.0,Веб Кьюб,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Тверь,True
Project manager / Менеджер проектов,100000.0,НИПИ Горного дела,Не требуется,Требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Project-manager,40000.0,Вектор,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер ИТ-проектов,180000.0,Интабия,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Новосибирск,True
Junior Project manager/проектный менеджер (удаленно),50000.0,Lion Target,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов / Project manager в digital,50000.0,TolkaDigital,Среднее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Москва,True
Аналитик бизнес-процессов/Менеджер проектов,150000.0,ДОКУМЕНТЫ 24/7,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов,150000.0,ALFAME,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Набережные Челны,True
Менеджер проектов (Junior),,Семицветик,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Проектный менеджер / ассистент руководителя,170000.0,Сеть фитнес-клубов Spirit,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов,120000.0,Атлант,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов (отделочные работы),100000.0,Новая Эра,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Новосибирск,True
Руководитель проектов,100000.0,СДС,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Уфа,True
Менеджер проектов,55000.0,ТрансЭнергоХолдинг,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Омск,True
Младший руководитель проектов,160000.0,NVI Solutions LLC,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Project Manager (Менеджер по проектам),60000.0,Рекламно-производственная компания Ником Реклама,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Екатеринбург,True
Менеджер проекта (строительство),90000.0,BlagoHouse,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Проектный менеджер,150000.0,Grigoreva.design,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проектов,200000.0,СПМ-ПРОЕКТ,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Проектный менеджер,175000.0,АХК ВНИИМЕТМАШ,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов,100000.0,СЛТ,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
