Vacancy,Salary,Company,English,OperatingMode,ManagementMethods,Region,Education_Высшее,Education_Не требуется,Education_Среднее,WorkExperience_Более 6 лет,WorkExperience_Нет опыта,WorkExperience_От 1 года до 3 лет,WorkExperience_От 3 до 6 лет
900,206900.0,652,Не требуется,Полная занятость,Не указаны,48,True,False,False,False,False,True,False
1223,80000.0,842,Не требуется,Полная занятость,Не указаны,29,False,False,True,False,True,False,False
1223,125000.0,870,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,True,False,False
1360,110000.0,1064,Не требуется,Полная занятость,kanban; scrum,48,False,True,False,False,False,True,False
132,100000.0,1525,Требуется,Полная занятость,Не указаны,48,False,True,False,False,True,False,False
534,90000.0,883,Не требуется,Полная занятость,agile; waterfall,27,False,True,False,False,False,True,False
1640,172500.0,1122,Не требуется,Полная занятость,Не указаны,69,True,False,False,False,False,False,True
1222,80000.0,870,Не требуется,Полная занятость,Не указаны,84,False,True,False,False,True,False,False
166,100000.0,1558,Требуется,Полная занятость,Не указаны,69,False,True,False,False,True,False,False
220,40000.0,879,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
534,180000.0,1193,Не требуется,Полная занятость,Не указаны,54,False,True,False,False,False,True,False
48,50000.0,272,Не требуется,Полная занятость,Не указаны,69,False,True,False,False,False,True,False
1014,50000.0,480,Не требуется,Полная занятость,Не указаны,48,False,False,True,False,True,False,False
294,150000.0,1051,Не требуется,Полная занятость,Не указаны,48,True,False,False,False,False,False,True
900,150000.0,23,Не требуется,Полная занятость,Не указаны,50,True,False,False,False,False,True,False
910,100000.0,2016,Не требуется,Полная занятость,Не указаны,69,True,False,False,False,False,True,False
1366,170000.0,2024,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
900,120000.0,760,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
979,100000.0,1608,Не требуется,Полная занятость,Не указаны,54,False,True,False,False,True,False,False
1640,100000.0,1942,Не требуется,Полная занятость,Не указаны,91,False,True,False,False,True,False,False
900,55000.0,2240,Не требуется,Полная занятость,Не указаны,58,True,False,False,False,True,False,False
1213,160000.0,320,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
100,60000.0,1883,Не требуется,Полная занятость,Не указаны,20,False,True,False,False,True,False,False
814,90000.0,77,Не требуется,Полная занятость,Не указаны,48,True,False,False,False,False,True,False
1345,150000.0,191,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
1640,200000.0,1980,Не требуется,Полная занятость,Не указаны,69,True,False,False,False,False,False,True
1345,175000.0,602,Не требуется,Полная занятость,Не указаны,48,True,False,False,False,False,False,True
900,100000.0,1968,Не требуется,Полная занятость,Не указаны,48,True,False,False,False,False,True,False
813,160000.0,1022,Не требуется,Полная занятость,Не указаны,69,True,False,False,False,False,False,True
113,100000.0,2224,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,True,False,False
521,50000.0,533,Не требуется,Полная занятость,Не указаны,48,True,False,False,False,True,False,False
900,130000.0,1412,Не требуется,Полная занятость,Не указаны,69,False,True,False,False,False,True,False
598,40000.0,1880,Не требуется,Полная занятость,Не указаны,77,False,False,True,False,True,False,False
45,40000.0,318,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
533,100000.0,2352,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
900,120000.0,2498,Не требуется,Полная занятость,Не указаны,29,False,True,False,False,False,True,False
1046,40000.0,359,Не требуется,Полная занятость,Не указаны,68,False,True,False,False,True,False,False
1455,120000.0,2451,Не требуется,Полная занятость,Не указаны,48,False,False,True,False,False,True,False
770,70000.0,553,Не требуется,Полная занятость,Не указаны,89,True,False,False,False,False,False,True
34,150000.0,277,Не требуется,Полная занятость,Не указаны,54,False,True,False,False,False,False,True
27,180000.0,250,Не требуется,Полная занятость,agile,48,False,True,False,False,False,True,False
47,80000.0,245,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
1068,100000.0,177,Не требуется,Полная занятость,Не указаны,85,False,True,False,False,True,False,False
935,100000.0,874,Не требуется,Полная занятость,Не указаны,69,False,True,False,False,False,False,True
115,120000.0,142,Не требуется,Полная занятость,agile; kanban; scrum,20,False,True,False,False,False,True,False
1322,70000.0,107,Не требуется,Полная занятость,Не указаны,68,False,True,False,False,True,False,False
1455,150000.0,1704,Не требуется,Полная занятость,Не указаны,48,True,False,False,False,False,True,False
1455,300000.0,1686,Не требуется,Полная занятость,Не указаны,48,False,False,True,True,False,False,False
290,70000.0,1790,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,True,False,False
837,170000.0,1783,Не требуется,Полная занятость,Не указаны,69,True,False,False,False,False,True,False
770,40000.0,1239,Не требуется,Полная занятость,Не указаны,27,True,False,False,False,True,False,False
945,60000.0,2261,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,True,False,False
677,90000.0,890,Требуется,Полная занятость,Не указаны,48,True,False,False,False,True,False,False
770,150000.0,509,Не требуется,Полная занятость,Не указаны,48,False,False,True,False,True,False,False
27,180000.0,250,Не требуется,Полная занятость,agile,69,False,True,False,False,False,True,False
1223,80000.0,842,Не требуется,Полная занятость,Не указаны,16,False,False,True,False,True,False,False
919,40000.0,512,Не требуется,Полная занятость,Не указаны,82,False,True,False,False,False,True,False
900,40000.0,74,Не требуется,Полная занятость,Не указаны,15,False,True,False,False,True,False,False
132,80000.0,538,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
1306,40000.0,757,Не требуется,Полная занятость,Не указаны,92,False,True,False,False,True,False,False
885,100000.0,430,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
900,50000.0,579,Не требуется,Полная занятость,Не указаны,25,True,False,False,False,False,True,False
1845,120000.0,278,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
900,145000.0,2436,Не требуется,Полная занятость,Не указаны,48,True,False,False,False,True,False,False
1345,100000.0,2041,Не требуется,Полная занятость,Не указаны,69,False,True,False,False,False,True,False
1435,100000.0,928,Не требуется,Полная занятость,Не указаны,38,False,True,False,False,False,False,True
819,80000.0,271,Не требуется,Полная занятость,Не указаны,69,False,True,False,False,False,True,False
900,100000.0,2269,Не требуется,Полная занятость,Не указаны,48,True,False,False,False,False,True,False
1370,95000.0,1783,Не требуется,Полная занятость,Не указаны,52,True,False,False,False,False,True,False
550,100000.0,1202,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
1455,80000.0,2231,Не требуется,Полная занятость,Не указаны,69,False,True,False,False,True,False,False
900,110000.0,2382,Не требуется,Полная занятость,agile; scrum; waterfall,39,False,True,False,False,False,True,False
786,75000.0,2111,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
1301,70000.0,825,Не требуется,Полная занятость,Не указаны,38,False,False,True,False,False,True,False
863,60000.0,1437,Не требуется,Полная занятость,Не указаны,41,True,False,False,False,True,False,False
1345,150000.0,823,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,False,True
288,70000.0,205,Не требуется,Полная занятость,Не указаны,48,False,False,True,False,False,True,False
255,80000.0,1068,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
509,100000.0,52,Не требуется,Полная занятость,Не указаны,69,False,False,True,False,False,True,False
87,2300.0,468,Требуется,Полная занятость,agile; waterfall,48,False,True,False,True,False,False,False
1852,90000.0,872,Не требуется,Полная занятость,Не указаны,61,False,True,False,False,False,True,False
1141,50000.0,162,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
900,90000.0,1072,Не требуется,Полная занятость,Не указаны,99,False,True,False,False,True,False,False
677,120000.0,910,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
132,180000.0,349,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,False,True
1449,90000.0,1369,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
311,30000.0,95,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,True,False,False
1057,120000.0,1738,Не требуется,Полная занятость,Не указаны,48,False,False,True,False,False,True,False
261,120000.0,745,Не требуется,Полная занятость,Не указаны,48,True,False,False,False,False,True,False
1368,1600.0,453,Требуется,Частичная занятость,agile; scrum,48,False,True,False,False,False,True,False
900,160000.0,1668,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,True,False,False
